"zip","median_income_census"
"Geographic Area Name",NA
"13461",88750
"13464",56953
"13468",62727
"13469",94185
"13470",75313
"13471",70455
"13472",NA
"13473",103598
"13475",53750
"13476",62798
"13477",71111
"13478",83986
"13480",85435
"13482",58864
"13483",115341
"13484",NA
"13485",62337
"13486",60217
"13488",52159
"13489",89271
"13490",135302
"13491",72917
"13492",82173
"13493",63125
"13494",104688
"13495",66995
"13501",52548
"13502",57835
"13601",58791
"13602",NA
"13603",62500
"13605",70045
"13606",88977
"13607",66500
"13608",73643
"13611",70139
"13612",85658
"13613",58846
"13614",39000
"13615",101563
"13616",45962
"13617",71663
"13618",61494
"13619",63120
"13620",70087
"13621",77703
"13622",81065
"13623",NA
"13624",87988
"13625",80417
"13626",64495
"13628",58125
"13630",63333
"13632",132857
"13633",65625
"13634",92109
"13635",71316
"13636",58882
"13637",57103
"13638",62955
"13639",21346
"13640",118026
"13641",61458
"13642",49728
"13643",100625
"13645",NA
"13646",72212
"13647",NA
"13648",60735
"13649",156250
"13650",94318
"13651",116705
"13652",67946
"13654",74125
"13655",52309
"13656",72500
"13658",69055
"13659",63125
"13660",68482
"13661",82297
"13662",59106
"13664",78750
"13665",51250
"13666",38438
"13667",59849
"13668",63393
"13669",70304
"13670",36250
"13672",76216
"13673",81167
"13674",NA
"13675",208182
"13676",56170
"13678",NA
"13679",101932
"13680",80625
"13681",46250
"13682",79821
"13683",NA
"13684",57465
"13685",79469
"13687",44833
"13690",62000
"13691",79943
"13692",190250
"13693",72396
"13694",75179
"13695",123036
"13696",NA
"13697",75953
"13699",NA
"13730",53348
"13731",73750
"13732",88750
"13733",60759
"13734",63523
"13736",65880
"13738",NA
"13739",64219
"13740",80625
"13743",51364
"13744",61086
"13746",62993
"13747",NA
"13748",62125
"13750",62344
"13751",NA
"13752",66302
"13753",70000
"13754",61000
"13755",64375
"13756",71765
"13757",73523
"13760",66095
"13774",70638
"13775",78750
"13776",80750
"13777",65625
"13778",73850
"13780",77262
"13782",62961
"13783",51510
"13784",76446
"13786",54688
"13787",66222
"13788",100313
"13790",59045
"13795",56743
"13796",88750
"13797",67316
"13801",69375
"13802",NA
"13803",63713
"13804",45000
"13806",NA
"13807",77083
"13808",67071
"13809",52167
"13810",93819
"13811",78418
"13812",82679
"13813",107813
"13814",NA
"13815",61469
"13820",65953
"13825",76875
"13826",NA
"13827",72769
"13830",62400
"13832",78125
"13833",60409
"13834",37153
"13835",66620
"13838",53306
"13839",54271
"13841",58229
"13842",88500
"13843",79018
"13844",61071
"13846",32857
"13847",NA
"13849",57917
"13850",83403
"13856",48958
"13859",53846
"13860",143315
"13861",57847
"13862",63487
"13863",73333
"13864",60389
"13865",73623
"13901",55523
"13902",NA
"13903",66278
"13904",53984
"13905",53362
"14001",75107
"14004",90839
"14005",105082
"14006",65972
"14008",77702
"14009",62761
"14011",74946
"14012",72083
"14013",72768
"14020",62655
"14024",86833
"14025",115188
"14026",88750
"14027",NA
"14028",89188
"14029",145000
"14030",78182
"14031",103750
"14032",168711
"14033",87431
"14034",62412
"14035",91250
"14036",88466
"14037",93594
"14039",62917
"14040",88779
"14041",75938
"14042",47431
"14043",74112
"14047",78816
"14048",56431
"14051",135663
"14052",99970
"14054",79286
"14055",51089
"14056",58176
"14057",92410
"14058",102750
"14059",113555
"14060",62000
"14061",111250
"14062",83125
"14063",57937
"14065",61058
"14066",64750
"14067",95671
"14068",98750
"14069",85469
"14070",53310
"14072",115991
"14075",83383
"14080",76786
"14081",65778
"14082",93571
"14083",91806
"14085",129563
"14086",99499
"14091",82833
"14092",72218
"14094",75427
"14098",91042
"14101",73116
"14102",119327
"14103",69926
"14105",92405
"14108",76345
"14109",NA
"14111",90700
"14112",NA
"14113",102798
"14120",74871
