price,street,area,bedrooms,bathrooms,halfbathrooms,unit,status,buildingType,latitude,longitude
5295,221 West 29th Street,Chelsea,1,1,0,17B,ACTIVE,RENTAL,40.74841,-73.993645
3500,605 West 112th Street,Morningside Heights,1,1,0,4G,ACTIVE,RENTAL,40.805927,-73.96632
8342,159 West Ninth Street,Carroll Gardens,3,2,0,A,ACTIVE,RENTAL,40.67558,-73.99993
6692,159 West Ninth Street,Carroll Gardens,3,2,0,C,ACTIVE,RENTAL,40.67558,-73.99993
4465,550 10th Avenue,Hudson Yards,0,1,0,2706,ACTIVE,RENTAL,40.758785,-73.99612
3382,620 West 153rd Street,Hamilton Heights,2,1,0,4G,ACTIVE,RENTAL,40.831673,-73.94822
3500,856 Eighth Avenue,Midtown,1,1,0,4B,ACTIVE,RENTAL,40.763,-73.9852
7395,50 West 97th Street,Upper West Side,3,2,0,12R,ACTIVE,RENTAL,40.7928,-73.9659
3200,325 Lafayette Avenue,Clinton Hill,0,1,0,4N,ACTIVE,RENTAL,40.6888,-73.9627
18000,13 East 69th Street,Lenox Hill,4,4,1,PH,ACTIVE,RENTAL,40.770195,-73.96709
4605,416 Kent Avenue,Williamsburg,0,1,0,2207N,ACTIVE,RENTAL,40.7103,-73.9689
3250,955 Sterling Place,Crown Heights,0,1,0,102,ACTIVE,RENTAL,40.672752,-73.9468
7210,101 West 15th Street,Chelsea,1,1,0,229,ACTIVE,RENTAL,40.7385,-73.9965
3750,2006 Avenue V,Homecrest,2,2,0,7J,ACTIVE,RENTAL,40.597084,-73.950874
3300,2339 Nostrand Avenue,Midwood,1,1,0,2F,ACTIVE,RENTAL,40.627617,-73.9467
3700,330 E. 46th Street,Turtle Bay,0,1,0,4K,ACTIVE,RENTAL,40.7516,-73.9691
3750,310 Grand Concourse,Mott Haven,1,1,0,7L,ACTIVE,RENTAL,40.814434,-73.92864
4500,310 Grand Concourse,Mott Haven,2,1,0,8F,ACTIVE,RENTAL,40.814434,-73.92864
4945,240 East 27th Street,Kips Bay,1,1,0,23A,ACTIVE,RENTAL,40.7402,-73.9796
6881,401 East 34th Street,Murray Hill,1,1,0,N32D,ACTIVE,RENTAL,40.7438,-73.9725
3499,54 Crown Street,Crown Heights,1,1,0,212,ACTIVE,RENTAL,40.666847,-73.959946
5910,201 25th Street,Greenwood,2,2,0,5J,ACTIVE,RENTAL,40.66056,-73.99741
4400,315 West 102nd Street,Upper West Side,1,1,0,7D,ACTIVE,RENTAL,40.799625,-73.97117
3150,21-07 Astoria Boulevard,Astoria,0,1,0,5E,ACTIVE,RENTAL,40.772293,-73.925385
3150,21-07 Astoria Boulevard,Astoria,0,1,0,6F,ACTIVE,RENTAL,40.772293,-73.925385
3973,795 Columbus Avenue,Upper West Side,0,1,0,09L,ACTIVE,RENTAL,40.7943,-73.966
4000,169 Bowery,Lower East Side,0,1,0,6A,ACTIVE,RENTAL,40.71986,-73.99378
12600,7 East 75th Street,Lenox Hill,3,2,0,PH,ACTIVE,RENTAL,40.7743,-73.9647
4800,152-11 89th Avenue,Jamaica,3,2,0,417,ACTIVE,RENTAL,40.705593,-73.80451
3675,2413 3rd Avenue,Mott Haven,1,1,0,2402,ACTIVE,RENTAL,40.808754,-73.93145
2831,166-20 90th Avenue,Jamaica,1,1,0,337,ACTIVE,RENTAL,40.707336,-73.794174
5050,240 Central Park South,Central Park South,0,1,0,04O,ACTIVE,RENTAL,40.76731,-73.98118
2885,451 East 116th Street,East Harlem,2,1,0,14,ACTIVE,RENTAL,40.795433,-73.93338
4829,1 Bell Slip,Greenpoint,1,1,0,0-01D,ACTIVE,RENTAL,40.73714,-73.95848
4200,417 West 120th Street,Morningside Heights,3,1,0,1C,ACTIVE,RENTAL,40.809288,-73.95838
4050,72-01 Queens Boulevard,Woodside,2,2,0,301,ACTIVE,RENTAL,40.739925,-73.89133
4957,775 Columbus Avenue,Upper West Side,1,1,0,09B,ACTIVE,RENTAL,40.7938,-73.9665
3795,445 Gerard Avenue,Mott Haven,2,2,0,W635,ACTIVE,RENTAL,40.817543,-73.93009
2273,70 Post Avenue,Inwood,2,1,0,5H,ACTIVE,RENTAL,40.863995,-73.92249
4040,445 Gerard Avenue,Mott Haven,2,2,0,W622,ACTIVE,RENTAL,40.817543,-73.93009
5330,95 Wall Street,Financial District,1,1,0,1406,ACTIVE,RENTAL,40.7046,-74.0075
4794,8 Spruce Street,Fulton/Seaport,0,1,0,37K,ACTIVE,RENTAL,40.7106,-74.0053
2900,106 Fulton Street,Fulton/Seaport,0,1,0,4E,ACTIVE,RENTAL,40.7096,-74.00705
6900,300 East 50th Street,Turtle Bay,1,1,0,7H,ACTIVE,RENTAL,40.75455,-73.96833
2200,454 Fort Washington Avenue,Hudson Heights,1,1,0,46A,ACTIVE,RENTAL,40.850494,-73.93806
18000,88 Leonard Street,Tribeca,3,3,0,PHA-2,ACTIVE,RENTAL,40.7169,-74.0047
3395,69 East 125th Street,Central Harlem,1,1,0,11D,ACTIVE,RENTAL,40.80568,-73.93959
5200,40 Park Avenue,Murray Hill,1,1,0,14E,ACTIVE,RENTAL,40.7487,-73.9807
7626,55 Fleet Street,Downtown Brooklyn,2,1,0,30I,ACTIVE,RENTAL,40.6907,-73.9823
4000,90 Downing Street,Clinton Hill,2,1,0,40,ACTIVE,RENTAL,40.68307,-73.960976
2800,445 Gerard Avenue,Mott Haven,0,1,0,W710,ACTIVE,RENTAL,40.817543,-73.93009
6200,567 Fulton Street,Downtown Brooklyn,1,1,0,4M,ACTIVE,RENTAL,40.689545,-73.98176
4872,70 Pine Street,Financial District,0,1,0,1026,ACTIVE,RENTAL,40.7065,-74.0077
4544,460 2nd Avenue,Kips Bay,1,1,0,8D,ACTIVE,RENTAL,40.7407,-73.9783
4450,12 Eckford Street,Greenpoint,1,1,0,2B,ACTIVE,RENTAL,40.720444,-73.947495
4925,260 West 52nd Street,Midtown,1,1,0,21D,ACTIVE,RENTAL,40.7632,-73.9849
5379,15 Cliff Street,Fulton/Seaport,1,1,0,0-17B,ACTIVE,RENTAL,40.7083,-74.0055
